courier_id,order_number,courier_location_timestamp,courier_lat,courier_lon,order_created_timestamp,restaurant_lat,restaurant_lon,restaurant_id,dist_to_restaurant,avg_dist_to_restaurants,Hdist_to_restaurant,avg_Hdist_to_restaurants,Five_Clusters_embedding,Five_Clusters_embedding_error,h3_index,date_day_number,date_hour_number,orders_busyness_by_h3_hour,restaurants_per_index
168,281275675,02:32.2,50.4506505,-104.6068376,2021-04-02 4:00,50.4507793,-104.6067218,19,0.000173202,0.045720853,0.01650737,3.919826791,4,0.038162561,22,92,4,487,69
123,281308124,17:04.3,50.47790801,-104.6174839,2021-04-02 4:46,50.4781747,-104.6175211,20,0.000269261,0.053099939,0.02977876,4.846563149,0,0.033041845,28,92,5,761,51
180,281327258,40:02.2,50.44998167,-104.61234,2021-04-02 5:11,50.450153,-104.6118728,21,0.000497646,0.045816285,0.038185292,3.949165137,4,0.036110345,22,92,5,1026,69
113,281297584,47:23.3,50.4735875,-104.6177821,2021-04-02 4:32,50.4737533,-104.6177234,22,0.000175878,0.051270566,0.018903217,4.621603159,0,0.035469454,28,92,4,422,51
396,281334983,24:03.6,50.4018023,-104.6240507,2021-04-02 5:21,50.4024646,-104.6231499,23,0.001118071,0.066089567,0.097493396,6.361301125,1,0.00038775,21,92,5,656,52
54,281336612,48:06.2,50.4955253,-104.6666868,2021-04-02 5:23,50.4951598,-104.6657333,4,0.001021153,0.082765549,0.078767238,7.19366939,0,0.022171495,5,92,5,397,35
426,281274988,19:03.1,50.4555025,-104.6714087,2021-04-02 3:59,50.4555813,-104.6714388,24,8.44E-05,0.076787085,0.009020105,6.061905226,0,0.04930505,4,92,4,19,10
198,281360648,55:45.3,50.40570255,-104.6171996,2021-04-02 5:53,50.40589864,-104.6170534,25,0.000244602,0.062096412,0.024148,5.95291442,1,0.007509604,21,92,5,656,52
423,281315070,21:42.2,50.49532768,-104.6664791,2021-04-02 4:56,50.49525535,-104.666377,26,0.00012506,0.082518212,0.010808845,7.171115391,0,0.021976954,5,92,5,397,35
69,281351460,00:31.5,50.4500108,-104.6123101,2021-04-02 5:42,50.45016468,-104.612035,27,0.000315173,0.045812588,0.025931293,3.948791972,4,0.036144561,22,92,6,65,69
60,281351291,52:07.2,50.4554421,-104.6714123,2021-04-02 5:42,50.4555813,-104.6714388,24,0.0001417,0.076789209,0.015596021,6.061859304,0,0.049357675,4,92,5,74,10
206,280960432,32:07.2,50.44527575,-104.6406134,2021-04-01 6:24,50.4452748,-104.6406073,28,6.14E-06,0.056146114,0.000442709,4.713246504,4,0.037551256,24,91,6,213,27
351,280946558,35:28.2,50.44468349,-104.6178319,2021-04-01 6:00,50.4447136,-104.6177876,29,5.35E-05,0.04710548,0.004587247,4.079404076,4,0.030202377,22,91,6,694,69
188,280952259,45:14.3,50.49596859,-104.6617101,2021-04-01 6:09,50.496146,-104.6616474,30,0.000188159,0.079739799,0.020224967,7.02607487,0,0.017177773,5,91,6,234,35
3,280963978,48:05.2,50.4960683,-104.6599633,2021-04-01 6:30,50.4962242,-104.6599129,31,0.000163844,0.078725974,0.017703068,6.968719768,0,0.015428174,6,91,6,647,59
53,281255222,48:34.3,50.46622931,-104.6723529,2021-04-02 3:29,50.4662913,-104.6723324,32,6.53E-05,0.078342712,0.007046942,6.244810178,0,0.041358631,4,92,3,9,10
242,281276949,10:58.3,50.41621466,-104.5135192,2021-04-02 4:02,50.41603233,-104.5135717,33,0.000189761,0.100706837,0.020620047,7.974579462,3,0.042999961,14,92,4,59,24
0,281339708,52:06.2,50.46884781,-104.6183853,2021-04-02 5:27,50.4688758,-104.6184867,34,0.000105169,0.049718779,0.007823104,4.424101873,0,0.038329538,28,92,5,761,51
22,281314887,25:28.4,50.44735048,-104.591937,2021-04-02 4:55,50.4474556,-104.591116,35,0.000827718,0.047841678,0.05931428,3.996769461,2,0.033931403,23,92,5,484,65
46,281265106,50:52.2,50.44323983,-104.549806,2021-04-02 3:45,50.4433109,-104.5498255,36,7.37E-05,0.064993068,0.008025591,5.049473406,3,0.006067603,17,92,3,302,75
107,281266396,58:53.2,50.4076818,-104.6169822,2021-04-02 3:46,50.4078918,-104.6170033,37,0.000211057,0.060764843,0.023405372,5.792399191,4,0.007142508,21,92,3,186,52
405,281353493,56:39.3,50.40208601,-104.6237194,2021-04-02 5:44,50.40207481,-104.6237749,38,5.66E-05,0.065801137,0.004124382,6.331168096,1,5.66E-05,21,92,5,656,52
495,280968800,53:23.0,50.45036365,-104.6017454,2021-04-01 6:39,50.4502772,-104.6018536,39,0.000138475,0.046157187,0.012294487,3.92552661,4,0.039829742,22,91,6,694,69
472,281316581,09:12.4,50.4476677,-104.5590524,2021-04-02 4:58,50.4481147,-104.5588562,40,0.000488163,0.059744448,0.051623649,4.69200426,2,0.006942749,17,92,5,966,75
191,281301947,02:25.2,50.44697459,-104.5786362,2021-04-02 4:38,50.4468652,-104.578615,41,0.000111424,0.05146197,0.012259406,4.186928201,2,0.021262405,23,92,5,484,65
